method,overlap,P@5,R@5,AP,MRR,nDCG
FAISS Semantic Search,1,0.2,0.2,0.05,0.25,0.06605059297952091
FAISS Semantic Search,0,0.0,0.0,0.0,0.0,0.0
FAISS Semantic Search,0,0.0,0.0,0.0,0.0,0.0
FAISS Semantic Search,1,0.2,0.2,0.2,1.0,0.32863870183525623
FAISS Semantic Search,1,0.2,0.2,0.1,0.5,0.041469587032592375
FAISS Semantic Search,3,0.6,0.75,0.5666666666666667,1.0,0.41630092570641786
FAISS Semantic Search,3,0.6,0.6,0.6,1.0,0.8573291970546885
Fused Search,4,0.8,0.8,0.76,1.0,0.9359476947566552
Fused Search,1,0.2,0.2,0.2,1.0,0.32863870183525623
Fused Search,2,0.4,0.4,0.13,0.25,0.06876537437015379
Fused Search,2,0.4,0.4,0.3,1.0,0.8207236354156459
Fused Search,1,0.2,0.2,0.2,1.0,0.6791866504595295
Fused Search,1,0.2,0.2,0.2,1.0,0.6791866504595295
Fused Search,0,0.0,0.0,0.0,0.0,0.0
Fused Search,3,0.6,0.6,0.35333333333333333,0.5,0.23747212196823828
Fused Search,0,0.0,0.0,0.0,0.0,0.0
Fused Search,2,0.4,0.4,0.27999999999999997,1.0,0.806321454830414
Fused Search,0,0.0,0.0,0.0,0.0,0.0
Fused Search,2,0.4,0.4,0.3,1.0,0.08795983976853798
Fused Search,1,0.2,0.2,0.2,1.0,0.6791866504595295
Fused Search,1,0.2,0.2,0.2,1.0,0.32863870183525623
Fused Search,1,0.2,0.2,0.06666666666666667,0.3333333333333333,0.01095462339450854
Fused Search,0,0.0,0.0,0.0,0.0,0.0
Fused Search,2,0.4,0.4,0.4,1.0,0.7571577678387108
Fused Search,2,0.4,0.4,0.4,1.0,0.07955093604458204
Fused Search,2,0.4,0.5,0.41666666666666663,1.0,0.11711146081082797
Fused Search,3,0.6,0.6,0.6,1.0,0.6147476637100998
